age,income,credit_score,employment_years,gender,loan_approved,income_consistency_index
40.0,39822.57904269167,684.8286247666819,8.915047753020893,Female,0,0.7396378265726021
34.0,45417.508054195205,678.3323592535667,10.670280893635649,Male,1,0.8138985451920075
41.0,41039.284084322855,556.3480154194509,2.8391886865947535,Female,0,0.6966292507946228
50.0,51656.2707041918,707.9584221763738,2.347522934755447,Female,1,0.36633028053740035
33.0,67957.6779719287,500.99173244233816,4.742764868457377,Male,0,1.9519323884075035
33.0,38434.36764288193,584.5815674239672,0.29861438723328515,Male,1,1.52306922734456
51.0,65012.30746652621,450.0912187102192,5.87730188211363,Female,0,0.6807360412166876
43.0,38274.91891479668,805.8626516962814,7.622901889722732,Male,1,1.2848656967260592
30.0,37285.591812546736,626.8450506054704,2.5328561598351835,Male,1,1.507544350972998
40.0,62278.9192751482,866.6884034816312,0.9595318233387579,Male,1,1.4507352521168972
30.0,63829.045670114254,730.2949926519495,0.1462088944692303,Male,1,1.4334843686280767
30.0,62771.14905143982,694.8098213351025,5.070146281558406,Male,0,1.8403969827375017
37.0,30263.038876727882,591.3772305719001,1.5666639981087458,Female,0,0.20913077829961668
16.0,43010.73532891924,545.364996431258,3.117075724742569,Female,0,0.1670583390486306
18.0,62344.82888004982,702.2971573896946,2.441697720179313,Male,1,1.5743927717331443
29.0,50623.12760845842,642.8485990727017,0.9611613056029431,Male,0,2.157393774830753
25.0,33894.60730703804,516.0729684514699,3.5501308475731412,Female,0,0.011072466743599962
38.0,56874.76908688163,498.3141583491681,3.077168434609593,Male,0,1.4739598210102594
26.0,39277.891115127946,554.1296270856416,4.892794133504078,Female,1,0.7956260108612664
21.0,76917.87272588318,832.0967225266231,1.450992810987245,Female,0,0.7714114195740469
50.0,73172.62193627388,871.3277918011304,1.208059479872981,Female,1,0.2305054271102196
33.0,59061.46139533351,670.498914730891,8.419327440952314,Male,1,1.205244281321198
36.0,70415.1005715466,664.8942796241288,6.056535589917264,Male,1,1.8991108910820482
21.0,50971.87025185072,616.3679628170479,7.396577750532867,Male,1,1.3969175396654845
30.0,61481.56241562524,556.5514651690498,0.6578939966238935,Male,1,1.6066944640102878
36.0,72165.80442953113,787.5179057607244,1.2682692343275601,Female,0,-0.34580110482379756
23.0,53682.48022691469,837.3576393897135,4.284587595525034,Female,0,0.1828102806766792
39.0,46172.19242728574,560.6580914160714,9.731598305021215,Female,1,0.05998784785823358
29.0,24430.67062734326,641.7161621575399,11.133430632393589,Male,1,1.776277020398082
32.0,48752.99711417759,605.0133699289833,8.91627752092052,Female,0,0.587448898565139
29.0,62351.34776843467,607.9760925135023,0.2218390031927298,Male,0,1.805492337597544
54.0,64184.501413514445,768.5908255429862,8.59847377378819,Female,0,0.7483938953007135
35.0,57565.475985776146,518.8038454633878,11.467689587982468,Male,0,1.8691669094603534
24.0,41880.5135755664,696.6469690936307,0.29211477775241257,Male,1,1.6257389053370672
43.0,20347.676465786142,722.8238107305865,2.691676971789685,Female,1,-0.037096987598833286
23.0,42571.77352992897,635.7848826398181,3.8459347226155827,Female,0,0.25973975202480937
37.0,45434.82693419073,739.3067826986772,1.3247153574120456,Female,1,0.4582337397012089
15.0,45306.06549214979,664.765184053745,3.6354401068003837,Male,1,0.5204433964050647
22.0,59278.34535466887,771.7129921156112,10.855845404346692,Female,1,0.4684119320375996
37.0,79785.1461652226,497.77946950741455,10.084869805266292,Female,0,0.4055388779464765
42.0,51852.938027616394,615.122473899313,14.053512042489961,Female,0,0.6741482135867548
37.0,46749.02316265307,642.8186857148966,3.309306618646933,Male,1,1.4683963372799542
34.0,46111.672804938615,382.7792615528651,2.6429706414650904,Female,0,0.04848065287001929
32.0,51865.77150361571,541.4047266421466,5.479896076736397,Male,0,1.0958297454799828
20.0,37575.593594774014,568.6400745641214,2.6957875193309864,Male,0,1.645300319363786
28.0,51802.97838119083,744.820599482335,0.2142483484952411,Male,1,1.3605754693463483
30.0,56762.185044977,579.31566536854,6.363425935954192,Female,1,0.35740892008787306
46.0,53145.290953617325,568.1921012694023,1.6493579335805224,Male,0,1.8892145852214608
38.0,56863.129010071716,731.7485780656192,0.2516546420891699,Male,1,1.2896573423338191
17.0,56506.21414022803,488.2089354209945,0.10418329890495404,Female,0,0.48643630303217966
38.0,23421.549766303346,442.8755932556428,13.394491527887514,Male,0,1.5121379745130077
31.0,59553.052375931045,613.8407699930654,1.4522696100267445,Male,1,1.2555121261877538
28.0,39934.7773150632,505.22932319216443,2.9701231356881315,Female,0,0.7445649202389909
41.0,33562.41255494063,509.0320705340351,15.03664153194499,Male,1,1.481668102817753
45.0,33433.22258217506,707.3433791687982,3.1510213347056055,Male,1,1.306929628517194
44.0,56503.12415708794,737.5973837912579,0.40935572700483336,Male,1,0.9999240759044428
27.0,46661.37609162721,728.8864215852125,4.014096525368197,Male,1,1.6675699027991115
32.0,24770.46824021884,760.8776660307233,0.461665672021106,Male,1,1.7597768639897753
38.0,57170.567227884254,774.1134320014802,0.49958721586103894,Female,1,0.5913906171053275
45.0,28405.87803801759,437.1409791173069,9.535079737434627,Female,0,0.1748561008892776
30.0,52097.32037777316,695.0411959929467,1.708379565008438,Male,1,1.3893284672919528
33.0,53577.48388509581,597.0391800430441,5.676436346503438,Male,0,0.9270136699750761
24.0,63283.65622542567,575.2575754009564,3.555785299300067,Male,1,1.768927068343243
23.0,76725.27179700277,706.0414632208706,1.2572437728254784,Male,0,1.4702442149286588
43.0,29529.855111491874,476.9704520104248,3.6471920502116753,Female,0,0.006838112360907811
49.0,49212.89215905426,474.88913941276803,0.3574452927476558,Male,1,1.4681018643721184
34.0,45854.97057433674,713.3572744081717,2.1325169669378905,Female,1,0.2406161098519614
45.0,56506.24528941444,698.7786017510898,3.6994775162511324,Female,0,1.0242723234008717
39.0,53235.031564004275,663.673265587151,1.2964083004476388,Female,0,0.6687851229626993
29.0,44711.8063589507,562.0086595276863,5.3968156928750375,Male,1,1.8790593874198565
39.0,43386.46717083717,724.3829634582124,0.26601200784824264,Male,1,1.6314448035426918
50.0,33253.237172239285,718.0302892060475,3.3160965804097486,Male,1,1.8529621315289586
35.0,64817.92373609764,658.5304515047454,6.276256481648252,Female,0,0.5171582718198379
51.0,56888.06272399294,532.2678958730229,2.8101214461091466,Male,1,1.0165851168980033
9.0,63766.52296692706,607.4751654270493,10.380691629303524,Male,0,1.883002610661825
43.0,45344.0579528673,733.7833677524443,5.000981700719525,Female,1,0.7438511680987564
36.0,40147.467969583544,782.7191222801787,15.909455844664057,Male,1,1.6465226700283355
32.0,33825.274000561585,617.3463396623672,1.6712262803458082,Male,1,1.7968701404368481
36.0,55383.763756109896,625.0327032191738,13.967168861096091,Male,0,1.4205603172960861
15.0,34403.10163207648,633.8310891974938,4.667471718736774,Male,1,1.6807757162524093
33.0,77729.94603449825,677.4893008910972,6.8359677278935935,Female,1,0.4636565451429717
39.0,30385.361283598395,591.8932699939976,11.622166023554922,Male,1,1.0763842681454863
50.0,54104.901788187526,360.58149424284164,4.005858295889536,Male,0,1.6595062043700388
30.0,73502.82060820679,769.2769001647097,9.909062696651993,Female,1,0.7815013617972626
27.0,58986.346388957136,829.4688947162549,3.901123048706378,Male,1,1.4991266836421373
30.0,52635.10568737669,588.7600140394287,4.571450268046836,Male,1,1.2607059219560228
44.0,35472.74529557156,543.3346631081226,2.944823949170678,Male,1,1.6173531048344982
38.0,29273.46217148444,636.2899477609778,0.7870046666495735,Female,0,0.5906476656680578
30.0,61550.751633763786,631.2496116271227,4.0316156011730895,Female,0,0.39908140195717545
40.0,72592.2086116242,749.5518577162959,18.95970867838725,Male,0,1.3539947468189832
36.0,43417.250142827426,655.4639441645038,7.736683570756303,Male,1,1.2593819522861138
45.0,32914.07738575473,570.7377169628817,6.881690146541194,Female,0,0.5061917453756888
28.0,13127.458541764725,518.1590549441951,5.154424325828947,Male,1,1.8556758035709275
32.0,35288.527345061935,736.5634184819673,2.13785327762988,Male,1,1.3581108120043417
31.0,48295.1473625144,709.9511241164249,0.9293303226008349,Female,1,0.4886358795238757
20.0,73986.84861255101,756.0559878091819,1.2715691920762566,Female,0,-0.12968336171564
38.0,60097.00538349453,553.1813249278906,0.0317107929048078,Female,1,0.4463358180724611
38.0,54576.2810706013,833.8436899528328,5.59632682721459,Female,1,0.5612103537297973
35.0,43998.205080483036,475.6305492942763,8.353311219357309,Female,0,0.039340107225205256
33.0,41252.51424116066,720.9601021401479,1.5661027799707636,Female,1,0.9063122930990282
21.0,71084.71396261945,459.04172328030984,0.48173077925473456,Male,0,1.2469468902550334
31.0,53011.07811137584,570.9668618301532,2.045310857618164,Male,0,1.6701684378185664
32.0,18460.989621184668,806.1022930447959,1.7269177291998175,Female,1,0.6302627803198387
27.0,39896.90528154136,733.136425447599,2.997158273865002,Male,1,1.8546857373116057
33.0,37126.7595234256,595.3779584512818,1.5333191531489812,Female,1,0.9566279470247572
39.0,41806.039862338024,598.1162957178312,2.0755526702363976,Female,0,0.8946365175322304
54.0,58443.659904276275,660.0622110835442,11.905695095349394,Male,1,1.7233032734520717
37.0,48388.32677308626,701.4140990760723,2.0386033966592483,Male,1,1.7507272719490248
38.0,48847.01889494507,775.1579382682696,7.697648390462187,Male,1,1.2262497535436017
34.0,69702.09741987856,604.3765995391506,4.915274642948331,Male,1,1.731939787969154
16.0,39553.083653199676,488.82149365127987,2.0589599959341602,Female,0,0.2067861853468016
35.0,77962.99288831024,665.696862704876,8.512929576103458,Male,0,1.6468409197776719
36.0,39930.38612943371,604.2569162491606,4.520280278403789,Female,0,1.3179082427491
60.0,51337.972949188574,519.9366295251552,0.04328041813721048,Male,0,1.2436947355996577
33.0,45781.946068958496,679.7668915312794,0.3560205092741686,Female,1,0.4461130366014421
38.0,51851.287002514415,628.6886245907211,6.984543662933009,Male,1,0.4775176232018925
35.0,56668.87992609693,680.6512206469795,2.957718675565907,Male,1,1.2871984425381218
23.0,56507.52860133315,560.555579981282,2.6002383465912526,Male,0,2.231776501070509
46.0,38703.2400406913,698.6710530325498,0.7881087261961107,Male,1,1.7467238006597345
43.0,33156.27983828644,518.2901803245022,0.8558316059652058,Female,0,0.20965231912477994
43.0,87547.57686358565,567.2268610303418,7.991314186558624,Female,0,0.6666207192474198
26.0,42740.2349059917,625.7085768912723,8.830959630523472,Male,1,1.4219908582287943
49.0,60488.1865800798,824.1818414959714,4.104931631327155,Male,1,1.3824260019538166
21.0,25885.380342152046,728.4825368548494,1.7486939155474972,Female,1,0.9372953221323153
41.0,45805.809201429845,757.719250426779,13.493035885712645,Female,1,0.7351412318591127
57.0,48092.00924026335,791.7077033343144,4.890330583227194,Male,1,1.303889572759931
25.0,57092.22604891749,1010.2832135810874,7.963939468809237,Male,1,1.495257883461727
29.0,9163.187885120919,654.1589067558434,0.016441604470516024,Male,1,1.5193389962984514
36.0,52492.10919617496,792.0400923129855,2.9920913107797853,Male,1,1.8978620894640366
